brand_name,product_name,product_id,beauty_point_earned,price_range,price_by_combinations,url,active_date,default_category,categories,rating_types_str,average_rating,total_reviews,average_rating_by_types,total_recommended_count,total_repurchase_maybe_count,total_repurchase_no_count,total_repurchase_yes_count,total_in_wishlist,image_folder_name,image_folder_path,image_count
796_3ce,MULTI EYE COLOR PALETTE,97802,130,Rp 555.000 - Rp 687.000,,https://www.sociolla.com/eyeshadow/69460-phan-mat-3ce-multi-eye-color-palette,2022-10-03T03:30:06.681Z,Eyeshadow,Makeup; Eyes; Eyeshadow,is_star_long_wear;is_star_packaging;is_star_pigmentation;is_star_texture;is_star_value_for_money,4.92,5,"""star_long_wear"": 5; ""star_packaging"": 4.8; ""star_pigmentation"": 4.8; ""star_texture"": 5; ""star_value_for_money"": 5",5,0,0,5,717,796_3ce_97802,SafeCart_Dataset/images/796_3ce_97802,8
796_3ce,VELVET LIP TINT,97810,50,Rp 264.000,,https://www.sociolla.com/lip-cream/69468-son-kem-li-3ce-velvet-lip-tint,2022-10-03T03:02:40.340Z,Lip Cream,Makeup; Lips; Lip Cream,is_star_long_wear;is_star_packaging;is_star_pigmentation;is_star_texture;is_star_value_for_money,4.576190476190476,42,"""star_long_wear"": 4.309523809523809; ""star_packaging"": 4.785714285714286; ""star_pigmentation"": 4.690476190476191; ""star_texture"": 4.761904761904762; ""star_value_for_money"": 4.333333333333333",42,10,2,30,682,796_3ce_97810,SafeCart_Dataset/images/796_3ce_97810,10
796_3ce,LIP COLOR,97822,60,Rp 317.000,,https://www.sociolla.com/lip-matte/69480-son-th-i-3ce-matte-lip-color,2023-05-30T09:49:15.158Z,Lipstick,Makeup; Lips; Lipstick,is_star_long_wear;is_star_packaging;is_star_pigmentation;is_star_texture;is_star_value_for_money,0.0,0,,0,0,0,0,173,796_3ce_97822,SafeCart_Dataset/images/796_3ce_97822,10
796_3ce,MINI MULTI EYE COLOR PALETTE,97833,80,Rp 423.000,,https://www.sociolla.com/eyeshadow/69491-phan-mat-3ce-mini-multi-eye-color-palette,2022-10-03T03:27:01.334Z,Eyeshadow,Makeup; Eyes; Eyeshadow,is_star_long_wear;is_star_packaging;is_star_pigmentation;is_star_texture;is_star_value_for_money,4.883333333333334,6,"""star_long_wear"": 4.916666666666667; ""star_packaging"": 5; ""star_pigmentation"": 4.833333333333333; ""star_texture"": 4.916666666666667; ""star_value_for_money"": 4.75",12,1,0,11,257,796_3ce_97833,SafeCart_Dataset/images/796_3ce_97833,10
796_3ce,FACE BLUSH,97801,60,Rp 300.000,,https://www.sociolla.com/blush/69459-phan-ma-hong-3ce-face-blush,2022-10-03T03:22:26.610Z,Blush,Makeup; Face; Blush,is_star_long_wear;is_star_packaging;is_star_pigmentation;is_star_texture;is_star_value_for_money,4.858823529411765,13,"""star_long_wear"": 4.9411764705882355; ""star_packaging"": 5; ""star_pigmentation"": 4.705882352941177; ""star_texture"": 4.882352941176471; ""star_value_for_money"": 4.764705882352941",17,2,0,15,387,796_3ce_97801,SafeCart_Dataset/images/796_3ce_97801,10
796_3ce,BLUR WATER TINT,97817,50,Rp 264.000,,https://www.sociolla.com/lip-tint/69475-blur-water-tint,2022-09-30T17:10:51.736Z,Lip Tint,Makeup; Lips; Lip Tint,is_star_long_wear;is_star_packaging;is_star_pigmentation;is_star_texture;is_star_value_for_money,4.729629629629629,51,"""star_long_wear"": 4.703703703703703; ""star_packaging"": 4.777777777777778; ""star_pigmentation"": 4.7592592592592595; ""star_texture"": 4.777777777777778; ""star_value_for_money"": 4.62962962962963",53,3,3,48,1050,796_3ce_97817,SafeCart_Dataset/images/796_3ce_97817,10
796_3ce,CLOUD LIP TINT,97818,50,Rp 264.000,,https://www.sociolla.com/lip-cream/69476-son-kem-li-3ce-cloud-lip-tint,2022-10-03T03:23:16.816Z,Lip Cream,Makeup; Lips; Lip Cream,is_star_long_wear;is_star_packaging;is_star_pigmentation;is_star_texture;is_star_value_for_money,4.768421052631579,17,"""star_long_wear"": 4.842105263157895; ""star_packaging"": 4.7894736842105265; ""star_pigmentation"": 4.684210526315789; ""star_texture"": 4.7894736842105265; ""star_value_for_money"": 4.7368421052631575",19,0,0,19,213,796_3ce_97818,SafeCart_Dataset/images/796_3ce_97818,10
796_3ce,NEW TAKE EYESHADOW PALETTE,98428,170,Rp 880.000,,https://www.sociolla.com/eyeshadow/70086-new-take-eyeshadow-palette,2022-12-11T15:01:17.357Z,Eyeshadow,Makeup; Eyes; Eyeshadow,is_star_long_wear;is_star_packaging;is_star_pigmentation;is_star_texture;is_star_value_for_money,5.0,1,"""star_long_wear"": 5; ""star_packaging"": 5; ""star_pigmentation"": 5; ""star_texture"": 5; ""star_value_for_money"": 5",5,0,0,5,445,796_3ce_98428,SafeCart_Dataset/images/796_3ce_98428,10
796_3ce,SUPER SLIM EYE BROW PENCIL,98369,40,Rp 212.000,,https://www.sociolla.com/default-category/70027-super-slim-eye-brow-pencil,2022-09-30T17:17:39.698Z,Eyebrows,Makeup; Eyes; Eyebrows,is_star_long_wear;is_star_packaging;is_star_pigmentation;is_star_texture;is_star_value_for_money,5.0,1,"""star_long_wear"": 5; ""star_packaging"": 5; ""star_pigmentation"": 5; ""star_texture"": 5; ""star_value_for_money"": 5",4,0,0,4,103,796_3ce_98369,SafeCart_Dataset/images/796_3ce_98369,9
796_3ce,VELVET FIT FOUNDATION,98368,110,Rp 564.000,,https://www.sociolla.com/foundation/70026-velvet-fit-foundation,2022-09-30T17:16:34.037Z,Foundation,Makeup; Face; Foundation,is_star_long_wear;is_star_packaging;is_star_pigmentation;is_star_texture;is_star_value_for_money,5.0,1,"""star_long_wear"": 5; ""star_packaging"": 5; ""star_pigmentation"": 5; ""star_texture"": 5; ""star_value_for_money"": 5",2,0,0,2,195,796_3ce_98368,SafeCart_Dataset/images/796_3ce_98368,9
