product_id,brand,product_name,bpom_id,genuine_reference,reported_counterfeit_candidate,unknown
ALL_NATURAL_HOUTTUYNIA_CORDATA_CLEANSING_FOAM_NA26221200909,All Natural,Houttuynia Cordata Cleansing Foam,NA26221200909,8,0,0
ALL_NATURAL_HOUTTUYNIA_CORDATA_COTTON_TONER_PAD_NA26221200918,All Natural,Houttuynia Cordata Cotton Toner Pad,NA26221200918,8,1,0
ANUA_7_RICE_CERAMIDE_HYDRATING_BARRIER_SERUM_NA26250100205,Anua,7 Rice Ceramide Hydrating Barrier Serum,NA26250100205,8,0,0
ANUA_HYALURONIC_ACID_GENTLE_FOAMING_CLEANSER_NA26241200857,Anua,Hyaluronic Acid Gentle Foaming Cleanser,NA26241200857,6,0,0
ANUA_NIACINAMIDE_10_TXA_3_SERUM_NA26251900042,Anua,Niacinamide 10% + TXA 3% Serum,NA26251900042,8,0,0
ANUA_NIACINAMIDE_5_TXA_BRIGHTENING_PAD_NA26251900083,Anua,Niacinamide 5 TXA Brightening Pad,NA26251900083,8,0,0
ANUA_PDRN_100_HYALURONIC_ACID_GLOW_PAD_NA26250100362,Anua,PDRN 100 Hyaluronic Acid Glow Pad,NA26250100362,8,0,0
ANUA_PDRN_HYALURONIC_ACID_CAPSULE_100_SERUM_NA26250100251,Anua,PDRN Hyaluronic Acid Capsule 100 Serum,NA26250100251,8,0,0
ANUA_PEACH_77_NIACIN_ESSENCE_TONER_NA26241200669,Anua,Peach 77% Niacin Essence Toner,NA26241200669,8,0,0
ANUA_RICE_70_GLOW_MILKY_TONER_NA26241200628,Anua,Rice 70 Glow Milky Toner,NA26241200628,8,0,0
ARIUL_ARIUL_WATERMELON_HYDRO_VITAL_SUN_SERUM_NA26251700082,Ariul,Ariul Watermelon Hydro Vital Sun Serum,NA26251700082,8,0,0
ARIUL_SMOOTH_PURE_DEEP_CLEAN_CLEANSING_FOAM_NA26231200642,Ariul,Smooth & Pure Deep Clean Cleansing Foam,NA26231200642,6,0,0
BEAUTY_OF_JOSEON_BAMBOO_DARKSPOT_SERUM_NA18250104648,Beauty of Joseon,Bamboo Darkspot Serum,NA18250104648,5,1,0
BEAUTY_OF_JOSEON_GLOW_REPLENISHING_RICE_MILK_NA26241200554,Beauty of Joseon,Glow Replenishing Rice Milk,NA26241200554,8,0,0
BEAUTY_OF_JOSEON_GREEN_PLUM_REFRESHING_TONER_AHA_BHA_NA26241200303,Beauty of Joseon,Green Plum Refreshing Toner: AHA + BHA,NA26241200303,8,0,0
BIODANCE_CERA_NOL_GEL_TONER_PADS_NA262412000784,Biodance,CERA-NOL GEL TONER PADS,NA262412000784,8,0,0
BIODANCE_COLLAGEN_GEL_TONER_PADS_NA26251200029,Biodance,COLLAGEN GEL TONER PADS,NA26251200029,8,0,0
BIO_BEAUTY_LAB_CAPSIBRIGHT_ELIXIR_BUBBLING_MASK_CLEANSER_NA18241210658,Bio Beauty Lab,Capsibright Elixir Bubbling Mask Cleanser,NA18241210658,3,1,0
BIYU_OIL_CONTROL_CLEANSER_PH_BALANCED_NA18211202530,Biyu,Oil Control Cleanser pH Balanced,NA18211202530,8,0,0
BIYU_PURE_GENTLE_CLEANSER_PH_BALANCED_NA18211202524,Biyu,Pure Gentle Cleanser pH Balanced,NA18211202524,8,0,0
CAUDALIE_VINOPURE_BLEMISH_SALICYLIC_SERUM_NC14250100072,Caudalie,Vinopure Blemish Salicylic Serum,NC14250100072,8,1,0
COSRX_AHA_BHA_CLARIFYING_TREATMENT_TONER_NA26221200804,COSRX,AHA/BHA Clarifying treatment toner,NA26221200804,8,0,0
COSRX_CENTELLA_WATER_ALCOHOL_FREE_TONER_NA26221200805,COSRX,Centella Water Alcohol Free Toner,NA26221200805,6,0,0
COSRX_SALICYLIC_ACID_DAILY_GENTLE_CLEANSER_NA26181202688,COSRX,Salicylic Acid Daily Gentle Cleanser,NA26181202688,7,0,0
COSRX_THE_HYALURONIC_ACID_3_SERUM_NA26222000050,COSRX,The Hyaluronic Acid 3 Serum,NA26222000050,8,0,0
COSRX_THE_VITAMIN_C_23_SERUM_NA26222000054,COSRX,The Vitamin C 23 Serum,NA26222000054,8,1,0
DANCING_WHALE_CLEAR_CLEANSING_FOAM_NA26241200756,Dancing Whale,Clear Cleansing Foam,NA26241200756,8,0,0
DEAR_KLAIRS_FRESHLY_JUICED_VITAMIN_ESSENCE_TONER_NA26251200677,Dear Klairs,Freshly Juiced Vitamin Essence Toner,NA26251200677,6,0,0
DEAR_KLAIRS_FRESHLY_JUICED_VITAMIN_MASK_CLEANSER_NA26251200595,Dear Klairs,Freshly Juiced Vitamin Mask Cleanser,NA26251200595,7,0,0
DEAR_KLAIRS_FRESHLY_JUICED_VITAMIN_SKIN_PREP_PADS_NA26251200678,Dear Klairs,Freshly Juiced Vitamin Skin Prep Pads,NA26251200678,8,0,0
DR_G_BRIGHTENING_VITA_PEELING_PAD_NA26220200245,Dr.G,Brightening Vita Peeling Pad,NA26220200245,8,0,0
DR_G_DR_G_RTX_INTO_SERUM_HYALSHOT_NA26250100229,Dr.G,Dr.G RTX Into Serum Hyalshot,NA26250100229,7,1,0
DR_G_DR_G_RTX_INTO_SERUM_PEPTISHOT_NA26250100230,Dr.G,Dr.G RTX Into Serum Peptishot,NA26250100230,6,0,0
DR_G_DR_G_RTX_INTO_SERUM_VITAMINSHOT_NA26251900043,Dr.G,Dr.G RTX Into Serum Vitaminshot,NA26251900043,8,1,0
ELSHESKIN_15_VITAMIN_C_GLOW_ADVANCE_SERUM_NA18251900022,Elsheskin,15% Vitamin C + Glow Advance Serum,NA18251900022,8,0,0
ELSHESKIN_DAILY_BOOST_ANTIOXIDANT_SERUM_NA18211903438,Elsheskin,Daily Boost Antioxidant Serum,NA18211903438,8,0,0
ELSHESKIN_RADIANT_ADVANCE_SERUM_NA18231901807,Elsheskin,Radiant Advance Serum,NA18231901807,8,0,0
FACERINNA_10_NIACINAMIDE_3_TXA_BRIGHT_DARK_SPOT_SERUM_NA18251901656,FACERINNA,10% Niacinamide 3% TXA Bright Dark Spot Serum,NA18251901656,6,0,0
FACERINNA_2_SALICYLIC_ACID_ACNE_SERUM_NA18250107449,FACERINNA,2% Salicylic Acid Acne Serum,NA18250107449,4,0,0
FACERINNA_CERAMIDE_B5_BALANCING_TONER_NA18250107683,FACERINNA,Ceramide B5 Balancing Toner,NA18250107683,8,0,0
FACERINNA_RETINOL_ANTI_AGING_SERUM_NA18252000312,FACERINNA,Retinol Anti Aging Serum,NA18252000312,6,0,0
FACERINNA_SALICYLIC_ACID_ACNE_TONER_NA18250107096,FACERINNA,Salicylic Acid Acne Toner,NA18250107096,8,0,0
FACETOLOGY_TRIPLE_CARE_ACNE_CALM_CLEANSER_NA18241210486,Facetology,Triple Care Acne Calm Cleanser,NA18241210486,8,0,0
GEMISTRY_2IN1_DOUBLE_CLEANSER_MICELLAR_GEL_FACE_WASH_NA18241210632,Gemistry,2in1 Double Cleanser Micellar Gel + Face Wash,NA18241210632,8,0,0
GLAD2GLOW_PERFECT_VITA_C_BRIGHT_GLOW_SERUM_NA11251900043,Glad2Glow,Perfect Vita C Bright Glow Serum,NA11251900043,6,1,0
GLAD2GLOW_PERFECT_VITA_C_BRIGHT_GLOW_TONER_NA11251200672,Glad2Glow,Perfect Vita C Bright Glow Toner,NA11251200672,7,0,0
GLAD2GLOW_TREMELLA_VITA_B5_SENSITIVE_CALMING_GEL_CLEANSER_NA11241201006,Glad2Glow,Tremella Vita B5 Sensitive Calming Gel Cleanser,NA11241201006,8,1,0
HALE_OVERNIGHT_GLOW_EXFOLIATING_MOUSSE_SOLUTION_NA18240113812,Hale,Overnight Glow Exfoliating Mousse Solution,NA18240113812,7,0,0
HAYEJIN_BLESSING_OF_SPROUT_RADIANCE_TONER_NA26221200313,Hayejin,Blessing Of Sprout Radiance Toner,NA26221200313,7,0,0
INNISFREE_VITAMIN_C_GREEN_TEA_ENZYME_BRIGHTENING_PAD_NA26241900034,Innisfree,Vitamin C Green Tea Enzyme Brightening Pad,NA26241900034,8,0,0
I_M_FROM_RICE_TONER_NA26251200644,I'm From,Rice Toner,NA26251200644,8,0,0
I_M_FROM_RICE_TONER_PAD_NA26251200291,I'm From,Rice Toner Pad,NA26251200291,8,0,0
I_M_FROM_RICE_WHIP_FACIAL_CLEANSER_SET_NKIT240002656,I'm From,Rice Whip Facial Cleanser Set,NKIT240002656,8,0,0
KAHF_ACNE_RELIEF_AMINO_GEL_FACE_WASH_NA18251202492,Kahf,Acne Relief Amino Gel Face Wash,NA18251202492,7,0,0
KAHF_BRIGHT_REVITALIZING_AMINO_GEL_FACE_WASH_NA18251202219,Kahf,Bright Revitalizing Amino Gel Face Wash,NA18251202219,8,0,0
KAIE_BLEMISH_CARE_PORE_REFINING_SERUM_NA18240108161,KAIE,Blemish Care + Pore Refining Serum,NA18240108161,8,0,0
KAIE_EVEN_TONE_RADIANCE_RENEW_SERUM_NA18240107391,KAIE,Even Tone + Radiance Renew Serum,NA18240107391,8,0,0
KAIE_HYDRA_BOOSTER_DAILY_MOISTURE_SERUM_NA18240107392,KAIE,Hydra Booster + Daily Moisture Serum,NA18240107392,8,0,0
KLAVUU_KLAVUU_PHYTONCIDE_MILD_CLEANSING_FOAM_NA26251200384,Klavuu,Klavuu Phytoncide Mild Cleansing Foam,NA26251200384,8,0,0
LANBENA_BOOST_RADIANCE_HYDRATING_FACIAL_TONER_NA11231201159,LANBENA,Boost Radiance & Hydrating Facial Toner,NA11231201159,8,0,0
LANBENA_RETINOL_REJUVENATING_CLEANSER_NA11251201509,LANBENA,Retinol Rejuvenating Cleanser,NA11251201509,8,1,0
LANBENA_RETINOL_REJUVENATING_SERUM_NA11252000022,LANBENA,Retinol Rejuvenating Serum,NA11252000022,8,0,0
MEDIHEAL_COLLAGEN_AMPOULE_PAD_NA26242000002,Mediheal,Collagen Ampoule Pad,NA26242000002,8,0,0
MEDIHEAL_RETINOL_COLLAGEN_LIFTING_PAD_NA26242000012,Mediheal,Retinol Collagen Lifting Pad,NA26242000012,8,0,0
MEDIHEAL_VITAMIN_C_BRIGHTENING_SERUM_WITH_NIACINAMIDE_NA26241900078,Mediheal,Vitamin C Brightening Serum with Niacinamide,NA26241900078,8,0,0
MEDIHEAL_WATERMIDE_MOISTURE_PAD_NA26240100017,Mediheal,Watermide Moisture Pad,NA26240100017,8,1,0
NEUTROGENA_HYDRO_BOOST_WATER_GEL_CLEANSER_NA26241200626,Neutrogena,Hydro Boost Water Gel Cleanser,NA26241200626,8,0,0
NEUTROGENA_OIL_FREE_ACNE_WASH_NA26231200409,Neutrogena,Oil-Free Acne Wash,NA26231200409,8,1,0
NUMBUZIN_NO_1_PANTOTHENIC_B5_ACTIVE_SOOTHING_SERUM_NA26250100033,Numbuzin,No.1 Pantothenic B5 Active Soothing Serum,NA26250100033,8,0,0
PYUNKANG_YUL_ESSENCE_TONER_PAD_NA26241200166,Pyunkang Yul,Essence Toner Pad,NA26241200166,8,1,0
ROUND_LAB_1025_DOKDO_CLEANSER_NA26231200764,Round Lab,1025 Dokdo Cleanser,NA26231200764,8,0,0
ROUND_LAB_PINE_CALMING_CICA_CLEANSER_NA26231200953,Round Lab,Pine Calming Cica Cleanser,NA26231200953,8,0,0
ROUND_LAB_PINE_CALMING_CICA_TONER_NA26231200708,Round Lab,Pine Calming Cica Toner,NA26231200708,8,0,0
SENKA_PERFECT_WHIP_ACNE_CARE_TWINPACK_NA54231200018,Senka,Perfect Whip Acne Care Twinpack,NA54231200018,8,1,0
SENKA_PERFECT_WHIP_COLLAGEN_IN_NA22231200149,Senka,Perfect Whip Collagen in,NA22231200149,8,0,0
SENKA_PERFECT_WHIP_FRESH_NA54231200020,Senka,Perfect Whip Fresh,NA54231200020,8,1,0
SENKA_PERFECT_WHIP_LOW_PH_CALMING_CICA_NA54241200014,Senka,Perfect Whip Low pH Calming Cica,NA54241200014,6,0,0
SENKA_PERFECT_WHIP_LOW_PH_CALMING_CICA_TWINPACK_NA54241200014,Senka,Perfect Whip Low pH Calming Cica Twinpack,NA54241200014,8,0,0
SKINTIFIC_10_PURE_VITAMIN_C_BRIGHTENING_SERUM_NKIT250001190,Skintific,10% Pure Vitamin C Brightening Serum,NKIT250001190,8,1,0
SKINTIFIC_377_DARK_SPOT_ESSENCE_TONER_NA11251200643,Skintific,377 Dark Spot Essence Toner,NA11251200643,8,0,0
