image_id,product_id,brand,product_name,bpom_id,image_url,image_path,source_url,source_domain,marketplace,listing_url,listing_title,seller_name,review_url,review_rating,review_text,review_date,evidence_keyword,evidence_level,evidence_score,label,ocr_text,ocr_brand_score,ocr_product_name_score,ocr_size_match,ocr_bpom_id,bpom_match_status,md5_hash,phash,download_status,rejection_reason,source_type,search_query,width,height,file_size,downloaded_at
26ee407faf41,MEDIHEAL_COLLAGEN_AMPOULE_PAD_NA26242000002,Mediheal,Collagen Ampoule Pad,NA26242000002,https://p19-common-sign.tiktokcdn-us.com/tos-no1a-p-0037-no/oUAZAfIPDFCpFA1ELdEubnEInCkII9zgfsR7iA~tplv-tiktokx-origin.image?dr=9636&x-expires=1786928400&x-signature=UwLaDPXc1TBQq0bRZa6VYyWSBIE%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=55bbe6a9&idc=useast5,SafeCart_Dataset\images\reported_counterfeit_candidate\MEDIHEAL_COLLAGEN_AMPOULE_PAD_NA26242000002\26ee407faf41.jpg,https://www.tiktok.com/@ugcbylarina/video/7505694682710609159,www.tiktok.com,tiktok.com,,,,,,ALERT ON FAKE MEDIHEAL TONER PADS! ALERT ON FAKE MEDIHEAL TONER PADS! Discover the difference between fake and real Mediheal Toner Pads and protect your skin from potential harm.,,fake,MODERATE_EVIDENCE,3.0,reported_counterfeit_candidate,,0.0,0.0,False,,not_visible,6e4d90422e3a1fd268b19c84f754fe4a,,success,duplicate_of:d8ecbaa27228,counterfeit_evidence,https://www.tiktok.com/@ugcbylarina/video/7505694682710609159,1048.0,1518.0,192139.0,2026-08-15T14:33:35.512208+00:00
bce89f293834,MEDIHEAL_RETINOL_COLLAGEN_LIFTING_PAD_NA26242000012,Mediheal,Retinol Collagen Lifting Pad,NA26242000012,https://p19-common-sign.tiktokcdn-us.com/tos-no1a-p-0037-no/oUAZAfIPDFCpFA1ELdEubnEInCkII9zgfsR7iA~tplv-tiktokx-origin.image?dr=9636&x-expires=1786928400&x-signature=UwLaDPXc1TBQq0bRZa6VYyWSBIE%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=55bbe6a9&idc=useast5,SafeCart_Dataset\images\reported_counterfeit_candidate\MEDIHEAL_RETINOL_COLLAGEN_LIFTING_PAD_NA26242000012\bce89f293834.jpg,https://www.tiktok.com/@ugcbylarina/video/7505694682710609159,www.tiktok.com,tiktok.com,,,,,,ALERT ON FAKE MEDIHEAL TONER PADS! ALERT ON FAKE MEDIHEAL TONER PADS! Discover the difference between fake and real Mediheal Toner Pads and protect your skin from potential harm.,,fake,MODERATE_EVIDENCE,3.0,reported_counterfeit_candidate,,0.0,0.0,False,,not_visible,6e4d90422e3a1fd268b19c84f754fe4a,,success,duplicate_of:d8ecbaa27228,counterfeit_evidence,https://www.tiktok.com/@ugcbylarina/video/7505694682710609159,1048.0,1518.0,192139.0,2026-08-15T14:34:07.262668+00:00
99e13470745f,KAHF_ACNE_RELIEF_AMINO_GEL_FACE_WASH_NA18251202492,Kahf,Acne Relief Amino Gel Face Wash,NA18251202492,https://www.kahfeveryday.com/_next/image/?url=https%3A%2F%2Fkahf-bucket-prod.s3.ap-southeast-3.amazonaws.com%2F1310%2F_Aminogel_2.png&w=3840&q=75,SafeCart_Dataset\images\genuine_reference\KAHF_ACNE_RELIEF_AMINO_GEL_FACE_WASH_NA18251202492\99e13470745f.jpg,https://www.kahfeveryday.com/en/product/kahf-bright-revitalizing-aminogel-face-wash/,www.kahfeveryday.com,kahfeveryday.com,,,,,,,,,,,genuine_reference,,0.0,0.0,False,,not_visible,42c11bf7e9e581eee2109b5b26e9f102,,success,duplicate_of:eb1015fd27c3,genuine,Kahf Acne Relief Amino Gel Face Wash official,800.0,1000.0,97352.0,2026-08-15T14:35:33.569815+00:00
9ae719e394ad,SENKA_PERFECT_WHIP_LOW_PH_CALMING_CICA_NA54241200014,Senka,Perfect Whip Low pH Calming Cica,NA54241200014,https://miessential.com/cdn/shop/files/Senka_Perfect_Whip_Low_PH_Calming_Cica_4.jpg?v=1722461678&width=1445,SafeCart_Dataset\images\genuine_reference\SENKA_PERFECT_WHIP_LOW_PH_CALMING_CICA_NA54241200014\9ae719e394ad.jpg,https://miessential.com/products/shiseido-senka-perfect-whip-low-ph-calming-cica?srsltid=AfmBOooNq4NxFruiCrL7R0XI0LNe8hlEGKB91NeQk9SPIccvlRuHqHqF,miessential.com,miessential.com,,,,,,,,,,,genuine_reference,,0.0,0.0,False,,not_visible,3876b5e89e5dcdea4ccfc79dbcbb6af6,,success,duplicate_of:efa6f6ce63e8,genuine,Senka Perfect Whip Low pH Calming Cica official,1080.0,1080.0,92611.0,2026-08-15T14:37:18.190714+00:00
3d5a8d79eeae,SENKA_PERFECT_WHIP_LOW_PH_CALMING_CICA_NA54241200014,Senka,Perfect Whip Low pH Calming Cica,NA54241200014,https://miessential.com/cdn/shop/files/SenkaPerfectWhipLowPHCalmingCica.jpg?v=1722461659&width=600,SafeCart_Dataset\images\genuine_reference\SENKA_PERFECT_WHIP_LOW_PH_CALMING_CICA_NA54241200014\3d5a8d79eeae.jpg,https://miessential.com/products/shiseido-senka-perfect-whip-low-ph-calming-cica?srsltid=AfmBOorYO30n4hOKpcE1V4FV7NxIswuU7q3AXWyVVnvDqKzcx91XDcCL,miessential.com,miessential.com,,,,,,,,,,,genuine_reference,,0.0,0.0,False,,not_visible,12a109ac654e2c69573d100f74427a66,,success,duplicate_of:b45d9185583b,genuine,Senka Perfect Whip Low pH Calming Cica official website,600.0,600.0,33417.0,2026-08-15T14:37:33.794697+00:00
3110073faae3,LANBENA_RETINOL_REJUVENATING_SERUM_NA11252000022,LANBENA,Retinol Rejuvenating Serum,NA11252000022,https://p19-common-sign.tiktokcdn-us.com/tos-alisg-p-0037/oABzEMivAWKNZGo9AABAII30I6zwZBCCAriCf2~tplv-tiktokx-origin.image?dr=9636&x-expires=1786860000&x-signature=MOXMBqqhuBmx75cyKRUZJe1EWo4%3D&t=4d5b0474&ps=13740610&shp=81f88b70&shcp=55bbe6a9&idc=useast8,SafeCart_Dataset\images\reported_counterfeit_candidate\LANBENA_RETINOL_REJUVENATING_SERUM_NA11252000022\3110073faae3.jpg,https://www.tiktok.com/@lanbena.beauty/video/7516920607355833618,www.tiktok.com,tiktok.com,,,,,,"Waspada Produk Lanbena Palsu Untuk Skincare Ketahui cara membedakan produk asli dan palsu Lanbena agar kulitmu aman. Yuk, jaga kecantikanmu! #retinol #lanbena #skincaretips. This is an AI- ...",,palsu,MODERATE_EVIDENCE,3.0,reported_counterfeit_candidate,,0.0,0.0,False,,not_visible,5d49f00e5608b997329f7cdaeebd395a,,success,duplicate_of:653cab7ac764,counterfeit_evidence,https://www.tiktok.com/@lanbena.beauty/video/7516920607355833618,1200.0,1719.0,182611.0,2026-08-15T14:41:56.849111+00:00
0f55cfa86e63,DR_G_DR_G_RTX_INTO_SERUM_HYALSHOT_NA26250100229,Dr.G,Dr.G RTX Into Serum Hyalshot,NA26250100229,https://d1f6um9xlu8jl4.cloudfront.net/Dr.G/Dr.G_RTX_Into_Serum_Hyalshot_50ml_T.jpg,SafeCart_Dataset\images\genuine_reference\DR_G_DR_G_RTX_INTO_SERUM_HYALSHOT_NA26250100229\0f55cfa86e63.jpg,https://jolse.com/product/drg-rtx-into-serum-hyalshot-50ml/75206/?srsltid=AfmBOooUdRWy7WAD1JWHniNQeWUBT60ZlCMGcbY3sTfcql0GgIt3CD6H,jolse.com,jolse.com,,,,,,,,,,,genuine_reference,,0.0,0.0,False,,not_visible,6d9ed83c46466278d7fedee20cc6d09b,,success,duplicate_of:72f34ebff4f1,genuine,Dr.G Dr.G RTX Into Serum Hyalshot official,500.0,500.0,14146.0,2026-08-15T14:42:12.272833+00:00
5c9168c3d1f2,DR_G_DR_G_RTX_INTO_SERUM_PEPTISHOT_NA26250100230,Dr.G,Dr.G RTX Into Serum Peptishot,NA26250100230,https://i.ebayimg.com/images/g/5JIAAOSw62BmfhQs/s-l400.jpg,SafeCart_Dataset\images\genuine_reference\DR_G_DR_G_RTX_INTO_SERUM_PEPTISHOT_NA26250100230\5c9168c3d1f2.jpg,https://www.ebay.com/itm/204857917840,www.ebay.com,ebay.com,,,,,,,,,,,genuine_reference,,0.0,0.0,False,,not_visible,40a030d6352a2d37c295e59ca132774a,,success,duplicate_of:49c6215158f4,genuine,Dr.G Dr.G RTX Into Serum Peptishot official,400.0,400.0,17634.0,2026-08-15T14:42:20.174280+00:00
84bbe8fd811f,DR_G_DR_G_RTX_INTO_SERUM_PEPTISHOT_NA26250100230,Dr.G,Dr.G RTX Into Serum Peptishot,NA26250100230,https://i.ebayimg.com/images/g/l5MAAOSweWpmfhQo/s-l400.png,SafeCart_Dataset\images\genuine_reference\DR_G_DR_G_RTX_INTO_SERUM_PEPTISHOT_NA26250100230\84bbe8fd811f.jpg,https://www.ebay.com/itm/204857917840,www.ebay.com,ebay.com,,,,,,,,,,,genuine_reference,,0.0,0.0,False,,not_visible,4389ed43fe3d747edd2b02d42e6eca01,,success,duplicate_of:4e0a79e32152,genuine,Dr.G Dr.G RTX Into Serum Peptishot official,397.0,400.0,14481.0,2026-08-15T14:42:20.271544+00:00
d69d5bd54483,SULWHASOO_CONCENTRATED_GINSENG_REJUVENATING_SERUM_NA26242000060,Sulwhasoo,Concentrated Ginseng Rejuvenating Serum,NA26242000060,https://us.sulwhasoo.com/cdn/shop/files/CGR_Serum_01._Texture_Brand.com_1080px_1_1_ratio.jpg?v=1758902369&width=1080,SafeCart_Dataset\images\genuine_reference\SULWHASOO_CONCENTRATED_GINSENG_REJUVENATING_SERUM_NA26242000060\d69d5bd54483.jpg,https://us.sulwhasoo.com/products/concentrated-ginseng-rejuvenating-serum,us.sulwhasoo.com,us.sulwhasoo.com,,,,,,,,,,,genuine_reference,,0.0,0.0,False,,not_visible,072141a1d81d68e1de9f9767d0c862c2,,success,duplicate_of:7ca5b70e2321,genuine,Sulwhasoo Concentrated Ginseng Rejuvenating Serum official,1080.0,1080.0,163061.0,2026-08-15T14:44:16.839328+00:00
